,cctvid,vdid,dist,cctv_url
125,nfbCCTV-T76-E-19.06-M,nfbVD-T76-E-19-O-WE-1-東向出口-縣148線,0.09066862084810988,http://210.241.63.120/abs2mjpg/bmjpg?camera=36
126,nfbCCTV-N1-N-34.4-M,nfbVD-N1-N-34-I-B-高公局,0.04919038369680418,"http://cctvn01.freeway.gov.tw/vStream.php?pm=211,A56,12"
127,nfbCCTV-N1H-N-71-M,nfbVD-N1-N-70.820-M-LOOP,0.13896787851630032,"http://cctvn01.freeway.gov.tw/vStream.php?pm=C1,1710"
128,nfbCCTV-N1-N-263.91-M,nfbVD-N1-N-263.840-N-Loop,0.056896416199284136,http://wwwvbs.sfreeway.gov.tw/live-view/mjpg/video.cgi?camera=03
129,nfbCCTV-N1-N-268.41-M,nfbVD-N1-N-268.650-M-RS,0.13157626904592332,http://wwwvbs.sfreeway.gov.tw/live-view/mjpg/video.cgi?camera=05
130,nfbCCTV-N3-S-23.59-M,nfbVD-N3-S-23.388-M-LOOP,0.014356418750433808,"http://cctvn01.freeway.gov.tw/vStream.php?pm=166,A30,16"
131,nfbCCTV-N3-N-19.845-M,nfbVD-N3-N-19.211-M-LOOP,0.21276863491355552,"http://cctvn01.freeway.gov.tw/vStream.php?pm=168,A32,5"
132,nfbCCTV-N3-N-8.27-M,nfbVD-N3-N-8.110-M-LOOP,0.2194634612369188,"http://cctvn01.freeway.gov.tw/vStream.php?pm=169,A33,14"
133,nfbCCTV-T74-W-22.976-M,nfbVD-T74-W-23.644-M-RS,0.3431132415270687,http://210.241.63.120/abs2mjpg/bmjpg?camera=394
134,nfbCCTV-N1H-S-48.595-M,nfbVD-N1-S-48.880-N-LOOP,0.21321327411259933,"http://cctvn01.freeway.gov.tw/vStream.php?pm=C1,1481"
135,nfbCCTV-T72-E-28.683-M,nfbVD-T72-E-28.596-M-RS,0.12880000364431693,http://210.241.63.120/abs2mjpg/bmjpg?camera=311
136,nfbCCTV-N3-N-32.733-M,nfbVD-N3-N-32.823-M-LOOP,0.01179915239973508,"http://cctvn01.freeway.gov.tw/vStream.php?pm=168,A32,11"
137,nfbCCTV-T78-W-11.3-M,nfbVD-T78-W-11.101-M-RS,0.24433289635266273,http://210.241.63.120/abs2mjpg/bmjpg?camera=46
138,nfbCCTV-N5-S-4.02-M,nfbVD-N5-S-4.000-O-NS-1,0.10587027256771013,http://202.39.180.202:8081/mjpeg/X01001602800801
139,nfbCCTV-N3-S-28.295-M,nfbVD-N3-S-28.172-M-LOOP,0.11015033678913826,"http://cctvn01.freeway.gov.tw/vStream.php?pm=171,A35,13"
140,nfbCCTV-N1-S-329.995-M,nfbVD-N1-S-329.875-M-RS,0.06144873382733148,http://wwwvbs.sfreeway.gov.tw/live-view/mjpg/video.cgi?camera=66
141,nfbCCTV-T62-W-1.61-M,nfbVD-T62-W-0.90-M-OH,0.24759364670495015,http://117.56.12.145/T62-1K%2b613
